Country Name,Country Code,Population
Aruba,ABW,106766
Africa Eastern and Southern,AFE,677243299
Afghanistan,AFG,38928341
Africa Western and Central,AFW,458803476
Angola,AGO,32866268
Albania,ALB,2837743
Andorra,AND,77265
Arab World,ARB,436080728
United Arab Emirates,ARE,9890400
Argentina,ARG,45376763
Armenia,ARM,2963234
American Samoa,ASM,55197
Antigua and Barbuda,ATG,97928
Australia,AUS,25687041
Austria,AUT,8917205
Azerbaijan,AZE,10110116
Burundi,BDI,11890781
Belgium,BEL,11555997
Benin,BEN,12123198
Burkina Faso,BFA,20903278
Bangladesh,BGD,164689383
Bulgaria,BGR,6927288
Bahrain,BHR,1701583
Bahamas,BHS,393248
Bosnia and Herzegovina,BIH,3280815
Belarus,BLR,9398861
Belize,BLZ,397621
Bermuda,BMU,63903
Bolivia,BOL,11673029
Brazil,BRA,212559409
Barbados,BRB,287371
Brunei Darussalam,BRN,437483
Bhutan,BTN,771612
Botswana,BWA,2351625
Central African Republic,CAF,4829764
Canada,CAN,38005238
Central Europe and the Baltics,CEB,102246330
Switzerland,CHE,8636896
Channel Islands,CHI,173859
Chile,CHL,19116209
China,CHN,1402112000
Cote d'Ivoire,CIV,26378275
Cameroon,CMR,26545864
"Congo, Dem. Rep.",COD,89561404
Congo,COG,5518092
Colombia,COL,50882884
Comoros,COM,869595
Cabo Verde,CPV,555988
Costa Rica,CRI,5094114
Caribbean small states,CSS,7442291
Cuba,CUB,11326616
Curacao,CUW,155014
Cayman Islands,CYM,65720
Cyprus,CYP,1207361
Czechia,CZE,10698896
Germany,DEU,83240525
Djibouti,DJI,988002
Dominica,DMA,71991
Denmark,DNK,5831404
Dominican Republic,DOM,10847904
Algeria,DZA,43851043
East Asia & Pacific (excluding high income),EAP,2105003391
Early-demographic dividend,EAR,3332105361
East Asia & Pacific,EAS,2352037717
Europe & Central Asia (excluding high income),ECA,420249459
Europe & Central Asia,ECS,923489941
Ecuador,ECU,17643060
Egypt,EGY,102334403
Euro area,EMU,342949773
Eritrea,ERI,
Spain,ESP,47351567
Estonia,EST,1331057
Ethiopia,ETH,114963583
European Union,EUU,447794691
Fragile and conflict affected situations,FCS,930006546
Finland,FIN,5530719
Fiji,FJI,896444
France,FRA,67391582
Faroe Islands,FRO,48865
"Micronesia, Fed. Sts.",FSM,115021
Gabon,GAB,2225728
United Kingdom of Great Britain and Northern Ireland,GBR,67215293
Georgia,GEO,3714000
Ghana,GHA,31072945
Gibraltar,GIB,33691
Guinea,GIN,13132792
Gambia,GMB,2416664
Guinea-Bissau,GNB,1967998
Equatorial Guinea,GNQ,1402985
Greece,GRC,10715549
Grenada,GRD,112519
Greenland,GRL,56367
Guatemala,GTM,16858333
Guam,GUM,168783
Guyana,GUY,786559
High income,HIC,1214930230
"Hong Kong SAR, China",HKG,7481800
Honduras,HND,9904608
